CountryKey,Country,ISO3,Region,SubRegion,Status
1,Afghanistan,AFG,Asia,Southern Asia,Developing
2,Albania,ALB,Europe,Southern Europe,Developing
3,Algeria,DZA,Africa,Northern Africa,Developing
4,Angola,AGO,Africa,Sub-Saharan Africa,Developing
5,Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,Developing
6,Argentina,ARG,Americas,Latin America and the Caribbean,Developing
7,Armenia,ARM,Asia,Western Asia,Developing
8,Australia,AUS,Oceania,Australia and New Zealand,Developed
9,Austria,AUT,Europe,Western Europe,Developed
10,Azerbaijan,AZE,Asia,Western Asia,Developing
11,Bahamas,BHS,Americas,Latin America and the Caribbean,Developing
12,Bahrain,BHR,Asia,Western Asia,Developing
13,Bangladesh,BGD,Asia,Southern Asia,Developing
14,Barbados,BRB,Americas,Latin America and the Caribbean,Developing
15,Belarus,BLR,Europe,Eastern Europe,Developing
16,Belgium,BEL,Europe,Western Europe,Developed
17,Belize,BLZ,Americas,Latin America and the Caribbean,Developing
18,Benin,BEN,Africa,Sub-Saharan Africa,Developing
19,Bhutan,BTN,Asia,Southern Asia,Developing
20,Bolivia (Plurinational State of),BOL,Americas,Latin America and the Caribbean,Developing
21,Bosnia and Herzegovina,BIH,Europe,Southern Europe,Developing
22,Botswana,BWA,Africa,Sub-Saharan Africa,Developing
23,Brazil,BRA,Americas,Latin America and the Caribbean,Developing
24,Brunei Darussalam,BRN,Asia,South-eastern Asia,Developing
25,Bulgaria,BGR,Europe,Eastern Europe,Developed
26,Burkina Faso,BFA,Africa,Sub-Saharan Africa,Developing
27,Burundi,BDI,Africa,Sub-Saharan Africa,Developing
28,Cabo Verde,CPV,Africa,Sub-Saharan Africa,Developing
29,Cambodia,KHM,Asia,South-eastern Asia,Developing
30,Cameroon,CMR,Africa,Sub-Saharan Africa,Developing
31,Canada,CAN,Americas,Northern America,Developing
32,Central African Republic,CAF,Africa,Sub-Saharan Africa,Developing
33,Chad,TCD,Africa,Sub-Saharan Africa,Developing
34,Chile,CHL,Americas,Latin America and the Caribbean,Developing
